Frame,Class,Confidence,X1,Y1,X2,Y2
260,antenna,0.54,316,191,337,261
261,antenna,0.62,201,109,235,179
261,antenna,0.54,250,131,277,222
261,antenna,0.53,316,190,336,261
262,antenna,0.63,201,109,235,179
262,antenna,0.57,250,131,278,222
262,antenna,0.54,316,190,336,261
263,antenna,0.61,201,108,235,179
263,antenna,0.56,249,131,278,222
263,antenna,0.52,315,190,336,261
264,antenna,0.61,201,107,236,178
264,antenna,0.56,249,131,277,222
264,antenna,0.52,314,190,335,262
265,antenna,0.62,202,106,236,177
265,antenna,0.56,250,131,277,221
265,antenna,0.52,313,190,333,261
266,antenna,0.62,202,105,236,177
266,antenna,0.55,249,130,277,221
266,antenna,0.51,313,190,332,261
267,antenna,0.62,202,104,237,177
267,antenna,0.54,249,130,277,221
267,antenna,0.49,312,189,332,262
267,antenna,0.32,283,82,311,152
268,antenna,0.63,202,104,237,176
268,antenna,0.55,248,130,277,221
268,antenna,0.48,312,189,332,263
268,antenna,0.30,281,82,311,152
